"Número do Contrato";"Objeto";"Fundamento Legal";"Modalidade Compra";"Situação Contrato";"Código Órgão Superior";"Nome Órgão Superior";"Código Órgão";"Nome Órgão";"Código UG";"Nome UG";"Data Assinatura Contrato";"Data Publicação DOU";"Data Início Vigência";"Data Fim Vigência";"Código Contratado";"Nome Contratado";"Valor Inicial Compra";"Valor Final Compra";"Número Licitação";"Código UG Licitação";"Nome UG Licitação";"Código Modalidade Compra Licitação";"Modalidade Compra Licitação"
"000862025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"31/12/2025";"05/01/2026";"31/12/2025";"31/12/2026";"-11";"Sigiloso";"4897954,8000";"4897954,8000";"-3";"";"";"";""
"000962025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200334";"COORDENACAO GERAL DE ADMINISTRACAO CGAD/DLOG/";"05/01/2026";"06/01/2026";"05/01/2026";"05/01/2027";"-11";"Sigiloso";"945000,0000";"945000,0000";"-3";"";"";"";""
"000332025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200356";"SUPERINTENDENCIA REGIONAL NO ESTADO DO RJ";"31/12/2025";"05/01/2026";"31/12/2025";"30/06/2028";"-11";"Sigiloso";"433500,0000";"433500,0000";"-3";"";"";"";""
"000252025";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200356";"SUPERINTENDENCIA REGIONAL NO ESTADO DO RJ";"26/12/2025";"08/01/2026";"26/12/2025";"26/12/2028";"-11";"Sigiloso";"60795,0000";"60795,0000";"-3";"";"";"";""
"000082026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Pregão - Registro de Preço";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200406";"DIRETORIA TECNICO-CIENTIFICA-DITEC/DPF";"16/01/2026";"20/01/2026";"16/01/2026";"16/01/2027";"-11";"Sigiloso";"755946,0000";"755946,0000";"000182023";"200406";"DIRETORIA TECNICO-CIENTIFICA-DITEC/DPF";"9999";"Pregão - Registro de Preço"
"000122026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200406";"DIRETORIA TECNICO-CIENTIFICA-DITEC/DPF";"23/01/2026";"26/01/2026";"23/01/2026";"22/07/2026";"-11";"Sigiloso";"1142778,5700";"1142778,5700";"-3";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200380";"SUPERINTENDENCIA REGIONAL NO ESTADO DO AC";"13/01/2026";"30/01/2026";"13/01/2026";"13/01/2027";"-11";"Sigiloso";"262299,0000";"262299,0000";"-3";"";"";"";""
"000042026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200376";"SUPERINTENDENCIA REGIONAL NO ESTADO DE GO";"26/01/2026";"28/01/2026";"05/02/2026";"05/02/2028";"-11";"Sigiloso";"2173304,8800";"2173304,8800";"-3";"";"";"";""
"000022026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200376";"SUPERINTENDENCIA REGIONAL NO ESTADO DE GO";"21/01/2026";"26/01/2026";"21/01/2026";"21/01/2028";"-11";"Sigiloso";"156298,3900";"156298,3900";"-3";"";"";"";""
"000012026";"Informação protegida por sigilo nos termos da legislação vigente";"";"Sem Informação";"Não se aplica";"30000";"Ministério da Justiça e Segurança Pública";"30108";"Polícia Federal";"200376";"SUPERINTENDENCIA REGIONAL NO ESTADO DE GO";"30/12/2025";"26/01/2026";"28/01/2026";"28/01/2031";"-11";"Sigiloso";"218086,2000";"218086,2000";"-3";"";"";"";""
